FIPS,Datetime,Cases
27039,2020-03-25 12:03:00,3
27045,2020-03-25 12:03:00,3
27053,2020-03-25 12:03:00,103
27063,2020-03-25 12:03:00,1
27073,2020-03-25 12:03:00,1
27079,2020-03-25 12:03:00,5
27091,2020-03-25 12:03:00,8
27099,2020-03-25 12:03:00,6
27103,2020-03-25 12:03:00,3
27109,2020-03-25 12:03:00,18
27123,2020-03-25 12:03:00,26
27129,2020-03-25 12:03:00,1
27131,2020-03-25 12:03:00,2
27139,2020-03-25 12:03:00,5
27141,2020-03-25 12:03:00,1
27137,2020-03-25 12:03:00,2
27145,2020-03-25 12:03:00,5
27147,2020-03-25 12:03:00,5
27157,2020-03-25 12:03:00,1
27161,2020-03-25 12:03:00,1
27163,2020-03-25 12:03:00,10
27171,2020-03-25 12:03:00,3
28001,2020-03-25 12:03:00,2
28007,2020-03-25 12:03:00,3
28011,2020-03-25 12:03:00,4
28017,2020-03-25 12:03:00,6
28019,2020-03-25 12:03:00,1
28025,2020-03-25 12:03:00,1
28027,2020-03-25 12:03:00,11
28029,2020-03-25 12:03:00,5
28033,2020-03-25 12:03:00,29
28035,2020-03-25 12:03:00,14
28037,2020-03-25 12:03:00,3
28039,2020-03-25 12:03:00,1
28043,2020-03-25 12:03:00,2
28045,2020-03-25 12:03:00,5
28047,2020-03-25 12:03:00,24
28049,2020-03-25 12:03:00,31
28051,2020-03-25 12:03:00,6
28053,2020-03-25 12:03:00,1
28057,2020-03-25 12:03:00,3
28059,2020-03-25 12:03:00,10
28067,2020-03-25 12:03:00,1
28071,2020-03-25 12:03:00,8
28073,2020-03-25 12:03:00,2
28077,2020-03-25 12:03:00,2
28079,2020-03-25 12:03:00,2
28081,2020-03-25 12:03:00,12
28083,2020-03-25 12:03:00,10
28085,2020-03-25 12:03:00,4
28087,2020-03-25 12:03:00,6
28089,2020-03-25 12:03:00,14
28091,2020-03-25 12:03:00,1
28093,2020-03-25 12:03:00,3
28095,2020-03-25 12:03:00,3
28097,2020-03-25 12:03:00,2
28101,2020-03-25 12:03:00,1
28103,2020-03-25 12:03:00,1
28105,2020-03-25 12:03:00,5
28107,2020-03-25 12:03:00,2
28109,2020-03-25 12:03:00,13
28111,2020-03-25 12:03:00,1
28113,2020-03-25 12:03:00,7
28115,2020-03-25 12:03:00,2
28121,2020-03-25 12:03:00,13
28123,2020-03-25 12:03:00,2
28127,2020-03-25 12:03:00,1
28129,2020-03-25 12:03:00,1
28133,2020-03-25 12:03:00,3
28135,2020-03-25 12:03:00,2
28137,2020-03-25 12:03:00,1
28139,2020-03-25 12:03:00,11
28143,2020-03-25 12:03:00,3
28145,2020-03-25 12:03:00,1
28147,2020-03-25 12:03:00,2
28151,2020-03-25 12:03:00,5
28155,2020-03-25 12:03:00,2
28157,2020-03-25 12:03:00,4
28159,2020-03-25 12:03:00,2
28163,2020-03-25 12:03:00,3
29001,2020-03-25 12:03:00,2
29013,2020-03-25 12:03:00,1
29019,2020-03-25 12:03:00,17
29027,2020-03-25 12:03:00,1
29029,2020-03-25 12:03:00,1
29031,2020-03-25 12:03:00,1
29037,2020-03-25 12:03:00,6
29043,2020-03-25 12:03:00,2
29047,2020-03-25 12:03:00,3
29049,2020-03-25 12:03:00,1
29051,2020-03-25 12:03:00,5
29069,2020-03-25 12:03:00,1
29077,2020-03-25 12:03:00,17
29083,2020-03-25 12:03:00,1
29095,2020-03-25 12:03:00,10
29097,2020-03-25 12:03:00,1
29101,2020-03-25 12:03:00,1
29107,2020-03-25 12:03:00,1
29135,2020-03-25 12:03:00,1
29157,2020-03-25 12:03:00,1
29169,2020-03-25 12:03:00,1
29201,2020-03-25 12:03:00,1
29183,2020-03-25 12:03:00,4
29187,2020-03-25 12:03:00,1
29189,2020-03-25 12:03:00,68
29510,2020-03-25 12:03:00,15
29213,2020-03-25 12:03:00,1
30007,2020-03-25 12:03:00,1
30013,2020-03-25 12:03:00,3
30029,2020-03-25 12:03:00,4
30031,2020-03-25 12:03:00,19
30043,2020-03-25 12:03:00,1
30049,2020-03-25 12:03:00,3
30057,2020-03-25 12:03:00,1
30063,2020-03-25 12:03:00,6
30081,2020-03-25 12:03:00,1
30085,2020-03-25 12:03:00,1
30093,2020-03-25 12:03:00,3
30111,2020-03-25 12:03:00,8
31001,2020-03-25 12:03:00,1
31019,2020-03-25 12:03:00,2
31025,2020-03-25 12:03:00,2
31047,2020-03-25 12:03:00,1
31055,2020-03-25 12:03:00,52
31107,2020-03-25 12:03:00,2
31109,2020-03-25 12:03:00,3
31111,2020-03-25 12:03:00,3
31119,2020-03-25 12:03:00,1
31127,2020-03-25 12:03:00,1
31153,2020-03-25 12:03:00,6
31155,2020-03-25 12:03:00,1
31177,2020-03-25 12:03:00,2
32510,2020-03-25 12:03:00,2
32003,2020-03-25 12:03:00,249
32005,2020-03-25 12:03:00,2
32007,2020-03-25 12:03:00,2
32023,2020-03-25 12:03:00,1
32031,2020-03-25 12:03:00,44
33001,2020-03-25 12:03:00,7
33003,2020-03-25 12:03:00,7
33005,2020-03-25 12:03:00,1
33009,2020-03-25 12:03:00,21
33011,2020-03-25 12:03:00,20
33013,2020-03-25 12:03:00,4
33015,2020-03-25 12:03:00,42
33017,2020-03-25 12:03:00,5
33019,2020-03-25 12:03:00,1
34001,2020-03-25 12:03:00,6
34003,2020-03-25 12:03:00,701
34005,2020-03-25 12:03:00,42
34007,2020-03-25 12:03:00,51
34009,2020-03-25 12:03:00,3
34011,2020-03-25 12:03:00,2
34013,2020-03-25 12:03:00,342
34015,2020-03-25 12:03:00,19
34017,2020-03-25 12:03:00,234
34019,2020-03-25 12:03:00,25
34021,2020-03-25 12:03:00,58
34023,2020-03-25 12:03:00,277
34025,2020-03-25 12:03:00,288
34027,2020-03-25 12:03:00,204
